"","professionals.professionals_location","lon","lat"
"62","Coimbatore, Tamil Nadu, India",76.9558321,11.0168445
"63","Peabody, Massachusetts",-70.9286609,42.5278731
"64","San Jose, California",-121.8863286,37.3382082
"65","San Francisco, California",-122.4194155,37.7749295
"66","Coimbatore, Tamil Nadu, India",76.9558321,11.0168445
"67","Mechanicsburg, Pennsylvania",-77.0080309,40.2132692
"68","Cambridge, Massachusetts",-71.1097335,42.3736158
"69","Redwood City, California",-122.228141,37.4847955
"70","Boston, Massachusetts",-71.0588801,42.3600825
"71","San Francisco, California",-122.4194155,37.7749295
"72","Boston, Massachusetts",-71.0588801,42.3600825
"73","Redwood City, California",-122.228141,37.4847955
"74","Boston, Massachusetts",-71.0588801,42.3600825
"75","Phoenix, Arizona",-112.0740373,33.4483771
"76","Clermont, Florida",-81.7728543,28.5494447
"77","Boston, Massachusetts",-71.0588801,42.3600825
"78","Boston, Massachusetts",-71.0588801,42.3600825
"79","Boston, Massachusetts",-71.0588801,42.3600825
"80","New York, New York",-77.8856212,42.8710697
"81","Milwaukee, Wisconsin",-87.9064736,43.0389025
"82","Buffalo, New York",-78.8783689,42.8864468
"83","Trenton, Michigan",-83.1782587,42.1394858
"84","Gainesville, Florida",-82.3248262,29.6516344
"85","Cambridge, Massachusetts",-71.1097335,42.3736158
"86","Illinois, Illinois",-89.3985283,40.6331249
"87","Beburg
",6.5711524,50.989348
"88","Tempe, Arizona",-111.9400054,33.4255104
"89","Minneapolis, Minnesota",-93.2650108,44.977753
"90","Houston, Texas",-95.3698028,29.7604267
"91","Daly City, California",-122.4702079,37.6879241
"92","Albany, New York",-73.7562317,42.6525793
"93","New York, New York",-74.0059728,40.7127753
"94","Peabody, Massachusetts",-70.9286609,42.5278731
"95","Kitchener, Ontario, Canada",-80.4925337,43.4516395
"96","Cambridge, Massachusetts",-71.1097335,42.3736158
"97","Praia, Cape Verde",-23.5133267,14.93305
"98","Glendale, Arizona",-112.1859866,33.5386523
"99","Boston, Massachusetts",-71.0588801,42.3600825
"100","Cambridge, Massachusetts",-71.1097335,42.3736158
"101","Atlanta, Georgia",-84.3879824,33.7489954
"102","Muscat, Oman",58.3828717,23.5880307
"103","Redwood City, California",-122.228141,37.4847955
"104","Skokie, Illinois",-87.7416246,42.0324025
"105","Boston, Massachusetts",-71.0588801,42.3600825
"106","Boston, Massachusetts",-71.0588801,42.3600825
"107","Washington",-120.7401385,47.7510741
"108","Brossard, Canada",-73.4619103,45.4514357
"109","New York, New York",-77.8856212,42.8710697
"110","Seattle, Washington",-122.3320708,47.6062095
"111","Orange, California",-117.8531007,33.7879139
"112","Chicago, Illinois",-87.6297982,41.8781136
"113","Coimbatore, Tamil Nadu, India",76.9558321,11.0168445
"114","Chicago, Illinois",-87.6297982,41.8781136
"115","New York, New York",-77.8856212,42.8710697
"116","Hong Kong",114.1693611,22.3193039
"117","Washington",-120.7401385,47.7510741
"118","Boston, Massachusetts",-71.0588801,42.3600825
"119","McAllen, Texas",-98.2300124,26.2034071
"120","Washington",-120.7401385,47.7510741
"121","San Jose, California",-121.8863286,37.3382082
"122","Boston, Massachusetts",-71.0588801,42.3600825
"123","Mumbai, Maharashtra, India",72.8776559,19.0759837
"124","Boston, Massachusetts",-71.0588801,42.3600825
"125","Boston, Massachusetts",-71.0588801,42.3600825
"126","Austin, Texas",-97.7430608,30.267153
"127","Boston, Massachusetts",-71.0588801,42.3600825
"128","Boston, Massachusetts",-71.0588801,42.3600825
"129","Memphis, Tennessee",-90.0489801,35.1495343
"130","Boston, Massachusetts",-71.0588801,42.3600825
"131","Boston, Massachusetts",-71.0588801,42.3600825
"132","Winthrop, Massachusetts",-70.9862693,42.374776
"133","Boston, Massachusetts",-71.0588801,42.3600825
"134","Boston, Massachusetts",-71.0588801,42.3600825
"135","Boston, Massachusetts",-71.0588801,42.3600825
"136","Boston, Massachusetts",-71.0588801,42.3600825
"137","Cambridge, Massachusetts",-71.1097335,42.3736158
"138","New York, New York",-77.8856212,42.8710697
"139","Stratford, Connecticut",-73.1331651,41.1845415
"140","Crucible, Pennsylvania",-79.9652236,39.948373
"141","Woodstock, Georgia",-84.5193754,34.1014873
"142","Houston, Texas",-95.3698028,29.7604267
"143","Boston, Massachusetts",-71.0588801,42.3600825
"144","Atlanta, Georgia",-84.3879824,33.7489954
"145","Atlanta, Georgia",-84.3879824,33.7489954
"146","Huntsville, Alabama",-86.5861037,34.7303688
"147","Boston, Massachusetts",-71.0588801,42.3600825
"148","Boston, Massachusetts",-71.0588801,42.3600825
"149","Atlanta, Georgia",-84.3879824,33.7489954
"150","New York, New York",-74.0059728,40.7127753
"151","Nashville, Tennessee",-86.7816016,36.1626638
"152","Atlanta, Georgia",-84.3879824,33.7489954
"153","Chicago, Illinois",-87.6297982,41.8781136
"154","San Francisco, California",-122.4194155,37.7749295
"155","California, California",-117.9859038,35.125801
"156","Boston, Massachusetts",-71.0588801,42.3600825
"157","New York, New York",-77.8856212,42.8710697
"158","Boston, Massachusetts",-71.0588801,42.3600825
"159","Boston, Massachusetts",-71.0588801,42.3600825
"160","Oakland, California",-122.2711639,37.8043514
"161","Burlingame, California",-122.34809,37.5778696
"162","Atlanta, Georgia",-84.3879824,33.7489954
"163","Memphis, Tennessee",-90.0489801,35.1495343
"164","Cambridge, England, United Kingdom",0.121817,52.205337
"165","New York, New York",-74.0059728,40.7127753
"166","New York, New York",-74.0059728,40.7127753
"167","Katy, Texas",-95.8245093,29.7857765
"168","Memphis, Tennessee",-90.0489801,35.1495343
"169","Berlin, Massachusetts",-71.6370121,42.3812039
"170","New York, New York",-74.0059728,40.7127753
"171","Boston, Massachusetts",-71.0588801,42.3600825
"172","Santa Ana, California",-117.867653,33.7454725
"173","Boston, Massachusetts",-71.0588801,42.3600825
"174","Boston, Massachusetts",-71.0588801,42.3600825
"175","New York, New York",-74.0059728,40.7127753
"176","Noida, Uttar Pradesh, India",77.3910265,28.5355161
"177","Chicago, Illinois",-87.6297982,41.8781136
"178","Boston, Massachusetts",-71.0588801,42.3600825
"179","Boston, Massachusetts",-71.0588801,42.3600825
"180","Washington, Washington",-80.2461714,40.17396
"181","Clayton, North Carolina",-78.4563914,35.650711
"182","Boston, Massachusetts",-71.0588801,42.3600825
"183","Boston, Massachusetts",-71.0588801,42.3600825
"184","Uruguay",-55.765835,-32.522779
"185","Jersey City, New Jersey",-74.0431435,40.7177545
"186","Washington",-120.7401385,47.7510741
"187","Boston, Massachusetts",-71.0588801,42.3600825
"188","Ontario, Ontario, Canada",-85.323214,51.253775
"189","New York, New York",-74.0059728,40.7127753
"190","New York, New York",-74.0059728,40.7127753
"191","Burlingame, California",-122.34809,37.5778696
"192","Galt, California",-121.2999485,38.2546373
"193","Chandigarh, India",76.7794179,30.7333148
"194","Naperville, Illinois",-88.1535352,41.7508391
"195","Chicago, Illinois",-87.6297982,41.8781136
"196","North Las Vegas, Nevada",-115.1175013,36.1988592
"197","Marseilles, Illinois",-88.7081293,41.3308666
"198","Boston, Massachusetts",-71.0588801,42.3600825
"199","New York, New York",-77.8856212,42.8710697
"200","Phoenix, Arizona",-112.0740373,33.4483771
"201","Redwood City, California",-122.228141,37.4847955
"202","San Francisco, California",-122.4194155,37.7749295
"203","Berkeley, California",-122.273042,37.8715226
"204","Harvard, Massachusetts",-71.5828444,42.5000919
"205","Boston, Massachusetts",-71.0588801,42.3600825
"206","Coimbatore, Tamil Nadu, India",76.9558321,11.0168445
"207","Mountain View, California",-122.0838511,37.3860517
"208","Whittier, California",-118.032844,33.9791793
"209","Boston, Massachusetts",-71.0588801,42.3600825
"210","Oakland, California",-122.2711639,37.8043514
"211","Boston, Massachusetts",-71.0588801,42.3600825
"212","Boston, Massachusetts",-71.0588801,42.3600825
"213","Cambridge, Massachusetts",-71.1097335,42.3736158
"214","Mount Royal, New Jersey",-75.2117904,39.8099873
"215","Austin, Texas",-97.7430608,30.267153
"216","Mansfield, Texas",-97.1416768,32.5631924
"217","Bethesda, Maryland",-77.0947092,38.984652
"218","California, California",-117.9859038,35.125801
"219","Boston, Massachusetts",-71.0588801,42.3600825
"220","Singapore",103.819836,1.352083
"221","Beverly Hills, California",-118.4003563,34.0736204
"222","Haslet, Texas",-97.3477957,32.9748469
"223","California, California",-117.9859038,35.125801
"224","Boston, Massachusetts",-71.0588801,42.3600825
"225","San Francisco, California",-122.4194155,37.7749295
"226","California, California",-117.9859038,35.125801
"227","California, California",-117.9859038,35.125801
"228","San Francisco, California",-122.4194155,37.7749295
"229","San Francisco, California",-122.4194155,37.7749295
"230","California, California",-117.9859038,35.125801
"231","San Francisco, California",-122.4194155,37.7749295
"232","California, California",-117.9859038,35.125801
"233","Ireland",-7.6920536,53.1423672
"234","Austin, Texas",-97.7430608,30.267153
"235","San Francisco, California",-122.4194155,37.7749295
"236","San Francisco, California",-122.4194155,37.7749295
"237","San Francisco, California",-122.4194155,37.7749295
"238","Bethesda, Maryland",-77.0947092,38.984652
"239","San Francisco, California",-122.4194155,37.7749295
"240","Ontario, Ontario, Canada",-85.323214,51.253775
"241","New York, New York",-74.0059728,40.7127753
"242","Stockton, California",-121.2907796,37.9577016
"243","San Francisco, California",-122.4194155,37.7749295
"244","San Francisco, California",-122.4194155,37.7749295
"245","Austin, Texas",-97.7430608,30.267153
"246","Cerritos, California",-118.0647871,33.8583483
"247","San Francisco, California",-122.4194155,37.7749295
"248","Santa Ana, California",-117.867653,33.7454725
"249","Austin, Texas",-97.7430608,30.267153
"250","Austin, Texas",-97.7430608,30.267153
"251","Los Angeles, California",-118.2436849,34.0522342
"252","California, California",-117.9859038,35.125801
"253","Austin, Texas",-97.7430608,30.267153
"254","Austin, Texas",-97.7430608,30.267153
"255","Austin, Texas",-97.7430608,30.267153
"256","Austin, Texas",-97.7430608,30.267153
"257","San Francisco, California",-122.4194155,37.7749295
"258","San Francisco, California",-122.4194155,37.7749295
"259","California, California",-117.9859038,35.125801
"260","San Francisco, California",-122.4194155,37.7749295
"261","Culver City, California",-118.3964665,34.0211224
"262","California, California",-117.9859038,35.125801
"263","Santa Ana, California",-117.867653,33.7454725
"264","Sellersburg, Indiana",-85.754964,38.3981216
"265","Pittsburgh, Pennsylvania",-79.9958864,40.4406248
"266","California, California",-117.9859038,35.125801
"267","California, California",-117.9859038,35.125801
"268","Santa Ana, California",-117.867653,33.7454725
"269","Coimbatore, Tamil Nadu, India",76.9558321,11.0168445
"270","Brookline, Massachusetts",-71.1211635,42.3317642
"271","Oakland, California",-122.2711639,37.8043514
"272","San Francisco, California",-122.4194155,37.7749295
"273","San Francisco, California",-122.4194155,37.7749295
"274","San Francisco, California",-122.4194155,37.7749295
"275","Boston, Massachusetts",-71.0588801,42.3600825
"276","Ontario, Ontario, Canada",-85.323214,51.253775
"277","San Diego, California",-117.1610838,32.715738
"278","San Diego, California",-117.1610838,32.715738
"279","Upland, California",-117.6483876,34.09751
"280","California, California",-117.9859038,35.125801
"281","San Francisco, California",-122.4194155,37.7749295
"282","Boston, Massachusetts",-71.0588801,42.3600825
"283","Auckland, New Zealand",174.7644881,-36.8508827
"284","Ontario, Ontario, Canada",-85.323214,51.253775
"285","San Francisco, California",-122.4194155,37.7749295
"286","California, California",-117.9859038,35.125801
"287","San Francisco, California",-122.4194155,37.7749295
"288","Minneapolis, Minnesota",-93.2650108,44.977753
"289","California, California",-117.9859038,35.125801
"290","California, California",-117.9859038,35.125801
"291","Boston, Massachusetts",-71.0588801,42.3600825
"292","Boston, Massachusetts",-71.0588801,42.3600825
"293","Boston, Massachusetts",-71.0588801,42.3600825
"294","Cambridge, Massachusetts",-71.1097335,42.3736158
"295","Boston, Massachusetts",-71.0588801,42.3600825
"296","Missouri, Missouri",-91.8318334,37.9642529
"297","Middle Island, New York",-72.9421869,40.8831181
"298","California, California",-117.9859038,35.125801
"299","Boston, Massachusetts",-71.0588801,42.3600825
"300","Signal Hill, California",-118.1678456,33.8044614
"301","Mountain View, California",-122.0838511,37.3860517
"302","Boston, Massachusetts",-71.0588801,42.3600825
"303","Boston, Massachusetts",-71.0588801,42.3600825
"304","Redwood City, California",-122.228141,37.4847955
"305","Chester, Virginia",-77.4416505,37.3568157
"306","Minneapolis, Minnesota",-93.2650108,44.977753
"307","Boston, Massachusetts",-71.0588801,42.3600825
"308","Weymouth, Massachusetts",-70.9410356,42.2180724
"309","Charlotte, North Carolina",-80.8431267,35.2270869
"310","Boston, Massachusetts",-71.0588801,42.3600825
"311","China",104.195397,35.86166
"312","Boston, Massachusetts",-71.0588801,42.3600825
"313","Rancho Santa Margarita, California",-117.602832,33.640171
"314","New York, New York",-74.0059728,40.7127753
"315","Boston, Massachusetts",-71.0588801,42.3600825
"316","Brockton, Massachusetts",-71.0183787,42.0834335
"317","Malibu, California",-118.7797571,34.0259216
"318","Ontario, Ontario, Canada",-85.323214,51.253775
"319","California, California",-117.9859038,35.125801
"320","Washington",-120.7401385,47.7510741
"321","California, California",-117.9859038,35.125801
"322","Boston, Massachusetts",-71.0588801,42.3600825
"323","Phoenix, Arizona",-112.0740373,33.4483771
"324","Kenya",37.906193,-0.023559
"325","New York, New York",-74.0059728,40.7127753
"326","Somerville, Massachusetts",-71.0994968,42.3875968
"327","Minneapolis, Minnesota",-93.2650108,44.977753
"328","Birmingham, Alabama",-86.8103567,33.5185892
"329","Boston, Massachusetts",-71.0588801,42.3600825
"330","Boston, Massachusetts",-71.0588801,42.3600825
"331","San Carlos, California",-122.2605222,37.5071591
"332","Canada",-106.346771,56.130366
"333","Boston, Massachusetts",-71.0588801,42.3600825
"334","Sellersburg, Indiana",-85.754964,38.3981216
"335","Washington",-120.7401385,47.7510741
"336","San Francisco, California",-122.4194155,37.7749295
"337","Boston, Massachusetts",-71.0588801,42.3600825
"338","Boston, Massachusetts",-71.0588801,42.3600825
"339","Columbus, Ohio",-82.9987942,39.9611755
"340","Argentina",-63.616672,-38.416097
"341","Baltimore, Maryland",-76.6121893,39.2903848
"342","Los Angeles, California",-118.2436849,34.0522342
"343","Brookline, Massachusetts",-71.1211635,42.3317642
"344","Redwood City, California",-122.228141,37.4847955
"345","Ontario, Ontario, Canada",-85.323214,51.253775
"346","Redwood City, California",-122.228141,37.4847955
"347","Boston, Massachusetts",-71.0588801,42.3600825
"348","Redwood City, California",-122.228141,37.4847955
"349","Sellersburg, Indiana",-85.754964,38.3981216
"350","Boston, Massachusetts",-71.0588801,42.3600825
"351","Boston, Massachusetts",-71.0588801,42.3600825
"352","Somerville, Massachusetts",-71.0994968,42.3875968
"353","Boston, Massachusetts",-71.0588801,42.3600825
"354","Boston, Massachusetts",-71.0588801,42.3600825
"355","Boston, Massachusetts",-71.0588801,42.3600825
"356","Somerville, Massachusetts",-71.0994968,42.3875968
"357","Boston, Massachusetts",-71.0588801,42.3600825
"358","Boston, Massachusetts",-71.0588801,42.3600825
"359","Boston, Massachusetts",-71.0588801,42.3600825
"360","Boston, Massachusetts",-71.0588801,42.3600825
"361","Boston, Massachusetts",-71.0588801,42.3600825
"362","Boston, Massachusetts",-71.0588801,42.3600825
"363","Boston, Massachusetts",-71.0588801,42.3600825
"364","Dudley, England, United Kingdom",-2.081112,52.512255
"365","Boston, Massachusetts",-71.0588801,42.3600825
"366","Shanghai, China",121.473701,31.230416
"367","Washington, Washington",-80.2461714,40.17396
"368","California, California",-117.9859038,35.125801
"369","Boston, Massachusetts",-71.0588801,42.3600825
"370","Ontario, Ontario, Canada",-85.323214,51.253775
"371","Boston, Massachusetts",-71.0588801,42.3600825
"372","Boston, Massachusetts",-71.0588801,42.3600825
"373","Boston, Massachusetts",-71.0588801,42.3600825
"374","San Luis Obispo, California",-120.6596156,35.2827524
"375","Fremont, California",-121.988583,37.5485396
"376","Charlottetown, Prince Edward Island, Canada",-63.1310704,46.23824
"377","Kirkland, Washington",-122.2059833,47.6768927
"378","California, California",-117.9859038,35.125801
"379","Argentina",-63.616672,-38.416097
"380","Ontario, Ontario, Canada",-85.323214,51.253775
"381","Eau Claire, Wisconsin",-91.4984941,44.811349
"382","Sellersburg, Indiana",-85.754964,38.3981216
"383","New York, New York",-74.0059728,40.7127753
"384","Boston, Massachusetts",-71.0588801,42.3600825
"385","Cambridge, Massachusetts",-71.1097335,42.3736158
"386","California, California",-117.9859038,35.125801
"387","Cambridge, Massachusetts",-71.1097335,42.3736158
"388","Bath, England, United Kingdom",-2.3590167,51.3810641
"389","McLean, Virginia",-77.1772604,38.9338676
"390","New York, New York",-77.8856212,42.8710697
"391","Randolph, Massachusetts",-71.042551,42.1619739
"392","Cambridge, Massachusetts",-71.1097335,42.3736158
"393","New York, New York",-74.0059728,40.7127753
"394","Ontario, Ontario, Canada",-85.323214,51.253775
"395","Boston, Massachusetts",-71.0588801,42.3600825
"396","Boston, Massachusetts",-71.0588801,42.3600825
"397","Seattle, Washington",-122.3320708,47.6062095
"398","Somerville, Massachusetts",-71.0994968,42.3875968
"399","Randolph, Massachusetts",-71.042551,42.1619739
"400","California, California",-117.9859038,35.125801
"401","Boston, Massachusetts",-71.0588801,42.3600825
"402","Boston, Massachusetts",-71.0588801,42.3600825
"403","New York, New York",-77.8856212,42.8710697
"404","Berkeley, California",-122.273042,37.8715226
"405","Omaha, Nebraska",-95.9345034,41.2565369
"406","Washington, Washington",-80.2461714,40.17396
"407","Washington",-120.7401385,47.7510741
"408","Brookline, Massachusetts",-71.1211635,42.3317642
"409","Ontario, Ontario, Canada",-85.323214,51.253775
"410","Boston, Massachusetts",-71.0588801,42.3600825
"411","Boston, Massachusetts",-71.0588801,42.3600825
"412","Boston, Massachusetts",-71.0588801,42.3600825
"413","Wilmington, Vermont",-72.8714468,42.8683889
"414","Dallas, Texas",-96.7969879,32.7766642
"415","Boston, Massachusetts",-71.0588801,42.3600825
"416","Lowell, Massachusetts",-71.3161718,42.6334247
"417","Uruguay",-55.765835,-32.522779
"418","Boston, Massachusetts",-71.0588801,42.3600825
"419","New York, New York",-74.0059728,40.7127753
"420","California, California",-117.9859038,35.125801
"421","Los Angeles, California",-118.2436849,34.0522342
"422","Phoenix, Arizona",-112.0740373,33.4483771
"423","San Diego, California",-117.1610838,32.715738
"424","Kirkland, Washington",-122.2059833,47.6768927
"425","Ontario, Ontario, Canada",-85.323214,51.253775
"426","New York, New York",-74.0059728,40.7127753
"427","New York, New York",-74.0059728,40.7127753
"428","Bengaluru, Karnataka, India",77.5945627,12.9715987
"429","Detroit, Michigan",-83.0457538,42.331427
"430","Missouri, Missouri",-91.8318334,37.9642529
"431","Minneapolis, Minnesota",-93.2650108,44.977753
"432","Austin, Texas",-97.7430608,30.267153
"433","Boston, Massachusetts",-71.0588801,42.3600825
"434","Ontario, Ontario, Canada",-85.323214,51.253775
"435","Washington, Washington",-80.2461714,40.17396
"436","New York, New York",-74.0059728,40.7127753
"437","Dallas, Texas",-96.7969879,32.7766642
"438","Colombia",-74.297333,4.570868
"439","Zürich, Switzerland",8.541694,47.3768866
"440","Ontario, Ontario, Canada",-85.323214,51.253775
"441","Los Angeles, California",-118.2436849,34.0522342
"442","Minneapolis, Minnesota",-93.2650108,44.977753
"443","Springfield, Missouri",-93.2922989,37.2089572
"444","California, California",-117.9859038,35.125801
"445","Arlington, Virginia",-77.1067698,38.8799697
"446","Paris, Île-de-France, France",2.6370411,48.8499198
"447","Baltimore, Maryland",-76.6121893,39.2903848
"448","Ireland",-7.6920536,53.1423672
"449","Jacksonville, Florida",-81.655651,30.3321838
"450","Chicago, Illinois",-87.6297982,41.8781136
"451","New York, New York",-74.0059728,40.7127753
"452","New York, New York",-74.0059728,40.7127753
"453","Tamworth, England, United Kingdom",-1.691032,52.633584
"454","Lancaster, England, United Kingdom",-2.8007399,54.046575
"455","Charlotte, North Carolina",-80.8431267,35.2270869
"456","California, California",-117.9859038,35.125801
"457","Washington",-120.7401385,47.7510741
"458","New York, New York",-77.8856212,42.8710697
"459","California, California",-117.9859038,35.125801
"460","Rochester, New York",-77.6088465,43.1565779
"461","Sparta Township, New Jersey",-74.6367256,41.0360345
"462","Kirkland, Washington",-122.2059833,47.6768927
"463","California, California",-117.9859038,35.125801
"464","California, California",-117.9859038,35.125801
"465","California, California",-117.9859038,35.125801
"466","Tempe, Arizona",-111.9400054,33.4255104
"467","Tempe, Arizona",-111.9400054,33.4255104
"468","California, California",-117.9859038,35.125801
"469","California, California",-117.9859038,35.125801
"470","California, California",-117.9859038,35.125801
"471","San Francisco, California",-122.4194155,37.7749295
"472","San Jose, California",-121.8863286,37.3382082
"473","California, California",-117.9859038,35.125801
"474","Sunnyvale, California",-122.0363496,37.36883
"475","Tempe, Arizona",-111.9400054,33.4255104
"476","California, California",-117.9859038,35.125801
"477","Tempe, Arizona",-111.9400054,33.4255104
"478","Sunnyvale, California",-122.0363496,37.36883
"479","Sunnyvale, California",-122.0363496,37.36883
"480","California, California",-117.9859038,35.125801
"481","California, California",-117.9859038,35.125801
"482","California, California",-117.9859038,35.125801
"483","California, California",-117.9859038,35.125801
"484","Tempe, Arizona",-111.9400054,33.4255104
"485","Cambridge, Massachusetts",-71.1097335,42.3736158
"486","San Jose, California",-121.8863286,37.3382082
"487","California, California",-117.9859038,35.125801
"488","San Francisco, California",-122.4194155,37.7749295
"489","Ontario, Ontario, Canada",-85.323214,51.253775
"490","Portland, Oregon",-122.6783853,45.515232
"491","Portland, Oregon",-122.6783853,45.515232
"492","California, California",-117.9859038,35.125801
"493","California, California",-117.9859038,35.125801
"494","Cambridge, Massachusetts",-71.1097335,42.3736158
"495","Calgary, Alberta, Canada",-114.0718831,51.0447331
"496","Tempe, Arizona",-111.9400054,33.4255104
"497","Tempe, Arizona",-111.9400054,33.4255104
"498","New York, New York",-77.8856212,42.8710697
"499","Baltimore, Maryland",-76.6121893,39.2903848
"500","California, California",-117.9859038,35.125801
"501","California, California",-117.9859038,35.125801
"502","Dallas, Texas",-96.7969879,32.7766642
"503","Sunnyvale, California",-122.0363496,37.36883
"504","Sunnyvale, California",-122.0363496,37.36883
"505","California, California",-117.9859038,35.125801
"506","Boston, Massachusetts",-71.0588801,42.3600825
"507","Tempe, Arizona",-111.9400054,33.4255104
"508","Medford, Oregon",-122.8755949,42.3265152
"509","Tempe, Arizona",-111.9400054,33.4255104
"510","Ontario, Ontario, Canada",-85.323214,51.253775
"511","San Jose, California",-121.8863286,37.3382082
"512","Tempe, Arizona",-111.9400054,33.4255104
"513","California, California",-117.9859038,35.125801
"514","Sunnyvale, California",-122.0363496,37.36883
"515","California, California",-117.9859038,35.125801
"516","New York, New York",-77.8856212,42.8710697
"517","California, California",-117.9859038,35.125801
"518","California, California",-117.9859038,35.125801
"519","California, California",-117.9859038,35.125801
"520","Tempe, Arizona",-111.9400054,33.4255104
"521","Tempe, Arizona",-111.9400054,33.4255104
"522","Tempe, Arizona",-111.9400054,33.4255104
"523","Cambridge, Massachusetts",-71.1097335,42.3736158
"524","Tempe, Arizona",-111.9400054,33.4255104
"525","Tempe, Arizona",-111.9400054,33.4255104
"526","California, California",-117.9859038,35.125801
"527","Sunnyvale, California",-122.0363496,37.36883
"528","Tempe, Arizona",-111.9400054,33.4255104
"529","Tempe, Arizona",-111.9400054,33.4255104
"530","Tempe, Arizona",-111.9400054,33.4255104
"531","Sunnyvale, California",-122.0363496,37.36883
"532","Tempe, Arizona",-111.9400054,33.4255104
"533","California, California",-117.9859038,35.125801
"534","San Carlos, California",-122.2605222,37.5071591
"535","California, California",-117.9859038,35.125801
"536","Tempe, Arizona",-111.9400054,33.4255104
"537","Tempe, Arizona",-111.9400054,33.4255104
"538","Tempe, Arizona",-111.9400054,33.4255104
"539","Tempe, Arizona",-111.9400054,33.4255104
"540","California, California",-117.9859038,35.125801
"541","Tempe, Arizona",-111.9400054,33.4255104
"542","Tempe, Arizona",-111.9400054,33.4255104
"543","California, California",-117.9859038,35.125801
"544","Tempe, Arizona",-111.9400054,33.4255104
"545","California, California",-117.9859038,35.125801
"546","Sunnyvale, California",-122.0363496,37.36883
"547","California, California",-117.9859038,35.125801
"548","Tempe, Arizona",-111.9400054,33.4255104
"549","Tempe, Arizona",-111.9400054,33.4255104
"550","Randolph, Massachusetts",-71.042551,42.1619739
"551","Redwood City, California",-122.228141,37.4847955
"552","California, California",-117.9859038,35.125801
"553","Sunnyvale, California",-122.0363496,37.36883
"554","Sunnyvale, California",-122.0363496,37.36883
"555","Tempe, Arizona",-111.9400054,33.4255104
"556","Sunnyvale, California",-122.0363496,37.36883
"557","Tempe, Arizona",-111.9400054,33.4255104
"558","Cambridge, Massachusetts",-71.1097335,42.3736158
"559","Cambridge, Massachusetts",-71.1097335,42.3736158
"560","Sunnyvale, California",-122.0363496,37.36883
"561","California, California",-117.9859038,35.125801
